filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,onset_strength,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
Quicksortin4minutesCHUNK0.wav,0.3740035891532898,0.01808224059641361,2778.6001792290986,2201.7967694959398,5047.696838378906,0.15866292317708333,1.9427697658538816,-444.9772033691406,61.307472229003906,-13.506204605102539,19.64849853515625,0.9449734091758728,5.241937637329102,-9.195684432983398,-17.255779266357422,-22.86376190185547,-4.625824928283691,-8.482832908630371,-19.34330940246582,-9.390883445739746,-1.0882848501205444,-6.27691650390625,-3.3015451431274414,-11.184253692626953,-4.878136157989502,-6.492871284484862,-2.2533624172210693,0
Quicksortin4minutesCHUNK1.wav,0.3658396899700165,0.016621837392449382,2654.774265852865,2235.6752578422447,4991.549081877461,0.14686692605807086,1.85807740688324,-467.6119079589844,65.22574615478516,-16.40207862854004,19.42411994934082,-1.0625896453857422,6.52912187576294,-6.812251091003418,-13.973627090454102,-22.366037368774414,-8.768329620361326,-3.9241111278533936,-18.665000915527344,-9.928959846496582,-1.9432615041732788,-8.449668884277344,-2.360477924346924,-10.921586990356444,-8.145458221435549,-4.414078235626222,-0.8431031703948975,0
Quicksortin4minutesCHUNK10.wav,0.4023636281490326,0.02396821603178978,2670.126969407089,2111.2542842267376,4951.12738208236,0.1560606198890187,1.8553345203399656,-401.5587158203125,69.58332061767578,-25.82540512084961,29.708824157714844,-7.996058940887451,-0.8296465873718262,-11.193537712097168,-17.104459762573242,-15.80428409576416,-7.217238903045653,4.470621585845947,-18.064489364624023,-14.83329963684082,2.700535774230957,-7.591934680938722,-1.5390714406967163,-10.14266872406006,-8.223150253295897,-6.15938663482666,-6.7970356941223145,0
Quicksortin4minutesCHUNK11.wav,0.3879760503768921,0.02002790756523609,2859.2042401920794,2151.879034372509,5166.846362964527,0.1668639901061776,1.4559613466262815,-465.5406494140625,43.09005737304688,-12.796034812927244,19.97480583190918,-2.0540742874145512,-0.93046236038208,-10.76029109954834,-12.914040565490724,-12.006858825683596,-5.524232387542725,-1.330222725868225,-13.555305480957033,-11.6639404296875,2.1046373844146733,-6.191489219665527,-1.6368494033813477,-8.072936058044434,-5.7588558197021475,-5.069517135620117,-5.08971118927002,0
Quicksortin4minutesCHUNK12.wav,0.38248443603515625,0.018778752535581592,2901.6365863727697,2171.8875844562144,5224.523426608968,0.1806767687035316,1.4099715948104858,-483.5532836914063,38.40583801269531,-12.547987937927244,23.18487548828125,3.8136861324310303,-2.326993465423584,-10.911920547485352,-13.249518394470215,-13.97531509399414,-3.592028379440308,-4.1954874992370605,-14.261615753173828,-12.362159729003904,-1.4839985370635986,-4.829938411712647,-2.0772814750671387,-9.638235092163086,-5.509962558746338,-5.015315055847168,-4.981708526611328,0
Quicksortin4minutesCHUNK13.wav,0.3838073313236237,0.024673443287611008,2972.9421781031183,2307.633903008103,5552.984172541921,0.17039824695121952,1.6863102912902832,-438.89044189453125,41.04367446899414,-16.643598556518555,29.455915451049805,3.5486459732055664,-2.2486801147460938,-15.219887733459473,-14.659473419189453,-17.949434280395508,-5.6968607902526855,-5.358722686767578,-14.8430757522583,-13.97559642791748,-2.684971809387207,-3.1404776573181152,-3.7507646083831783,-11.222177505493164,-7.186671733856201,-3.9420266151428223,-6.7529239654541025,0
Quicksortin4minutesCHUNK14.wav,0.39478760957717896,0.03298699483275413,3066.9037607673595,2267.761213059608,5569.335233248197,0.18243408203125,2.0608229637146,-391.9800109863281,35.87248992919922,-14.871305465698242,33.67208480834961,-0.4250699579715729,1.3847315311431885,-19.431663513183594,-14.148813247680664,-21.09427070617676,-7.746835708618164,-5.376183032989502,-18.15788459777832,-16.649879455566403,-1.5308989286422732,-4.175930976867677,-3.58211350440979,-11.742274284362793,-7.750425338745117,-3.3282124996185303,-7.293625354766847,0
Quicksortin4minutesCHUNK15.wav,0.402900755405426,0.02507891319692135,3238.690959842013,2320.0809130777193,5715.485773859798,0.20186564913127414,1.751688003540039,-427.1639709472656,26.61385536193848,-12.481201171875,33.580272674560554,8.25633716583252,4.267899513244629,-18.39099884033203,-10.970531463623047,-19.760986328125,-5.796008586883545,-5.24635124206543,-16.006963729858402,-15.99621295928955,-0.3910666704177856,-6.323838233947754,-2.77489709854126,-7.7561187744140625,-7.89159631729126,-2.9441907405853267,-4.891723155975342,0
Quicksortin4minutesCHUNK16.wav,0.349790632724762,0.01598697155714035,2712.5073485813396,2111.8963091167407,4976.303842905405,0.15161206128003002,1.2727991342544556,-483.9573059082031,33.635875701904304,-12.231643676757812,26.59944152832031,8.896236419677734,1.1512504816055298,-14.591175079345705,-7.836653709411621,-12.725200653076172,-6.151104927062987,-4.285336971282959,-11.879989624023438,-11.307647705078125,0.36078330874443054,-6.646968364715576,-1.4800536632537842,-5.968911170959473,-8.18427562713623,-2.1278083324432373,-4.1489996910095215,0
Quicksortin4minutesCHUNK17.wav,0.30859196186065674,0.012094532139599323,2085.3900389707896,1756.9188045251494,3922.831217447917,0.10623432677469136,1.0697284936904907,-549.2816162109375,51.96538162231445,-15.798867225646973,25.69876289367676,8.001675605773926,-0.816308856010437,-12.754843711853027,-7.231326103210449,-8.991898536682129,-6.422111511230469,-2.3706624507904053,-11.325424194335938,-9.25078296661377,1.060115098953247,-7.560088634490968,-0.5645073652267456,-7.33460807800293,-9.172877311706543,-2.238210678100586,-4.64757776260376,0
Quicksortin4minutesCHUNK18.wav,0.3841018974781037,0.028000812977552414,2961.848791171831,2193.206886723586,5308.501233552632,0.18528287604665072,2.1453201770782466,-394.70977783203125,44.44878768920898,-20.42648124694824,27.4216365814209,-3.9597127437591553,1.6145650148391724,-15.040754318237305,-12.771594047546387,-19.94969367980957,-7.86992073059082,-1.8251999616622925,-14.28640842437744,-17.328828811645508,-1.8886662721633911,-7.830721855163574,-2.227910041809082,-10.428668975830078,-10.700102806091307,-5.195854663848877,-4.447670936584473,0
